District,NetAreaIrrigated_Wells_NetAreaIrrigated,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_No,AreaUnderCereals_Maize,MotorVehicles_Tractors,TotalAgricultureLoan,TotalNPK,Maize_Production
BENGALURU,0.0,175.7232346315824,0.0,1129.0,275.16438901766185,98.02510482844177,438.1802095915902,2879
BENGALURU(R),116.81476010661927,3197.193184510588,0.15764475048126758,14867.0,154.6495002221235,3429.301432881682,3036.080249518732,42583
RAMANAGARA,0.0,709.8598043066205,0.11896427087424509,1987.0,339.25635946562846,928.0358159298281,222.22525799308983,10450
CHITRADURGA,0.0,28105.507253338455,32.509126717263904,92194.0,5647.169516764338,37647.33395378999,10902.40657123643,271975
DAVANAGERE,221.83411457631658,20213.730877509854,402.9126592653564,173400.0,8341.22065471436,27344.83353987816,25702.835480049405,593544
KOLAR,0.0,200.3861078115278,0.0,640.0,167.70148198427515,772.9431449742632,220.78290627297926,1759
CHIKKABALLAPURA,0.0,14559.991861765093,6.070276535578062,59377.0,3298.4726451181555,17213.260595132404,8196.896748542242,105491
SHIVAMOGGA,1178.9781843405738,5958.813645135085,764.8620970909473,43827.0,3305.007438320974,18792.92699561605,10428.246255833677,226532
TUMAKURU,64.86391383642788,10417.677295717876,0.6479192281108224,24207.0,1910.2098665213955,10614.829757998705,2746.313634885739,66868
CHIKKAMAGALURU,20.792452941072764,3145.7899611539797,489.7644262131301,25831.0,1908.8192925440324,9537.739741124478,8156.2903695954965,61353
DAKSHINA KANNADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UDUPI,8.924033609977059,0.26205257491908773,0.8416423901192446,8.0,1.6225515654503744,10.475212401159771,2.304862990847713,109
HASSAN,125.49566778712655,5824.841580444943,4.979986816949466,79058.0,5749.643779509006,27262.912929455764,17039.273893533446,333937
KODAGU,0.0,9.109736389052737,0.9453500026375482,3448.0,587.4061152752402,4369.833119691934,3519.022414363608,17921
MANDYA,131.22683211264476,383.392886892458,2.129295908482294,4892.0,277.26303689214956,2296.4150137165493,1448.8303553468627,19387
MYSURU,1147.2889188661727,2222.2283022396136,0.3359885549198085,37283.0,2252.4672721823963,11364.082655036496,6945.331414932335,137154
CHAMARAJANAGAR,572.6887585629913,13496.467160358838,1.531253365141688,38569.0,1128.533730109424,9059.660534860797,7289.68477009352,147886
BELAGAVI,36843.58899363712,37481.297967123624,1744.6451218269888,131163.0,12459.604605242044,77091.61832893218,48288.81512653903,576758
VIJAYAPURA,14023.324282929545,21812.24521754929,0.3843059545883679,40207.0,4769.044743464352,42046.9240991622,10420.071652709008,226327
BAGALKOT,1333.2291333751011,31781.380297053005,5.139248028834839,44300.0,6523.328669021569,59702.34952042951,22940.52125376528,251699
DHARAWAD,0.0,3590.483188855373,0.0,30900.0,2465.0074582980465,13534.020733954383,6447.725407503973,90634
GADAG,89.58479688361784,10006.597794528294,2.8820846182397157,34163.0,6710.453686134805,19805.42130545332,5591.244159385049,138476
HAVERI,6.686411200535577,21067.544410647497,3520.0611765219546,170696.0,5245.48958682016,34499.728770357004,21731.170722300652,413487
UTTARA KANNADA,696.0882026704327,566.5133424330794,1.071420032970363,4576.0,310.57788205728394,4798.404170834296,1025.6168265608799,24088
BALLARI,207.4539000914309,5124.806677337972,245.61464558079587,49870.0,1636.0286651611568,14770.361000952296,8404.654607960516,104045
BIDAR,175.73393727465438,201.34157592448318,21.77458373344446,1382.0,53.157088761255956,1302.1967683583061,249.38118239631837,2791
KALABURAGI,155.75183839401353,641.7596434738812,1.4991311699525112,2634.0,215.02012070082026,1956.730439361779,710.1016144409267,14621
YADGIRI,43.12617473970123,88.87815753734722,9.60376188320507,961.0,39.93971027614305,209.08962684472613,368.61746944318696,2673
RAICHUR,7.437046621966043,13.94958109503457,2.7047624026802946,2600.0,13.4461130934487,78.03171807674042,61.54751946394106,723
KOPPAL,0.0,12343.237177895211,1.4952075271217184,48210.0,2439.7301220045083,10689.809780668527,10997.550403485664,190252
Vijayanagara,207.0,5124.0,245.0,49870.0,1636.0,14770.0,8404.0,104045
