,District,Sustainability_-10,Sustainability_10,Sustainability_20,Sustainability_-20
0,BLR,0.6948274109077196,0.6739986316104626,0.6652580428011013,0.707826155428211
1,BLR(R),0.6852724669296402,0.6964002432714752,0.7005440873628824,0.6778283693438621
2,RGA,1.1191977950044334,0.9218757391195578,0.8590234777803726,1.296939811278521
3,CDA,0.4214335081713429,0.4030924401405048,0.3939219061250858,0.4306040421867619
4,DVG,0.9368713005869098,0.9840804381657771,0.9959931663123233,0.8995270576128637
5,KLR,1.3308468814347763,1.257094717217403,1.2307082892423167,1.3849680874088233
6,CKA,0.5666471657916654,0.5682826161432268,0.5687937511766203,0.565403591146839
7,SMG,0.569294677251315,0.5774808259005879,0.5801603517701222,0.56320638107531
8,TKR,1.913320350665652,1.843122578240723,1.8168063562249823,1.9622581398137584
9,CMG,0.5312615512576239,0.5163675190511599,0.5087863767137631,0.538515427772147
10,DKA,inf,inf,inf,inf
11,UPI,0.41168477261166586,0.3911773189008996,0.38092359204551646,0.42193849946704903
12,HSN,5.014295543618864,5.643782383353253,5.916358260206463,4.653243829489987
13,KDG,0.5126644998999622,0.5068224696023316,0.5039191496086497,0.5156131401690932
14,MDY,0.45498133126714113,0.4424771591618636,0.43617892956775933,0.4611664270696198
15,MYS,0.50791671435588,0.5028558221064656,0.4998175759946594,0.5097168012536152
16,CNR,0.7723717769086292,0.7814587163547746,0.7825392952759992,0.7631217656696663
17,BLG,0.8889360021675731,0.32643990111768817,0.0,1.115342290521457
18,VJP,0.3639792848169295,0.3324363183693773,0.3166630074466384,0.37974817600757366
19,BKT,0.49185967855544754,0.48887787326820537,0.48738739014498805,0.49335121449030017
20,DWD,2.157354103733675,1.959574897769309,1.8767055118987388,2.282099725749793
21,GDG,0.37992062880093225,0.3437129841563044,0.3251765431053435,0.3974267889818313
22,HVR,1.0815484094098258,1.028301274483623,1.006742331952688,1.1162685850379561
23,UTK,0.36782927636451773,0.3339114384750894,0.31692942293756426,0.3847565140574192
24,BLL,0.5656634783146144,0.5638598347728841,0.5626276865685144,0.5660889040111494
25,BDR,0.7763564212587956,0.7231506788818751,0.6998751650321157,0.8081616105219019
26,KLB,0.9868849337774092,0.9755761240097345,0.9709268061865414,0.994044531873319
27,YDR,0.46052263457414877,0.45057818691104895,0.4456007933210394,0.46548736847237887
28,RCR,0.38237533112763455,0.3553316243201823,0.341808574305704,0.39589545182883806
29,KPL,0.6440704161738819,0.6479989080843465,0.6491538841653705,0.6409500920457338
30,VNG,0.5802506030212373,0.5817756205620009,0.5822087559464171,0.5790130706100142
